가다;gehen
차이가 나다;abweichen, sich unterscheiden
한테 잘 하다;sei nett zu jmd.
가져가다;mitnehmen
돌려주다;zurückgeben
다녀오다;gehen und kommen
약속을 지키다;ein Versprechen halten
걱정하다;sich sorgen
조심하다;vorsichtig
벗다;ausziehen (Kleidung, Schuhe)
어울리다;passen, zusammenpassen
다치다;sich verletzen
잃어버리다;verlieren
웃다;lachen
꿈을 꾸다;träumen
잊다;vergessen
사고가 나다;einen Unfall haben
생활하다;leben, den Alltag verbringen
한바퀴 돌다;eine Runde drehen, einen Kreis machen
울다;weinen
집중이 되다;sich konzentrieren, Konzentriert werden
비를 맞다;Regen abbekommen, im Regen stehen
새롭다;neu
기대되다;etwas erwarten, sich auf etwas freuen
잘되다;gut laufen, gut funktionieren
출퇴근하다;pendeln
예약하다;reservieren
빨갛다;rot
정확하다;genau, präzise, exakt
귀찮다;lästig, nervig sein, wenn man keine Lust hat, etwas zu tun
입맛이 없다;keinen Appetit haben
마르다;dünn, mager
생기다;entstehen, erschaffen
연기하다;schauspielern
활발하다;lebhaft, aktiv, energetisch
어리다/젊다;jung
잘 생기다;gutaussehend
둘러보다;sich umschauen
환불하다;rückerstatten
선택하다;wählen
마음에 들다;gefallen
늙다;altern
나이가 들다;alt werden
신기하다;erstaunlich, wunderbar, faszinierend
간단하다;einfach, schlicht
더럽다;schmutzig
누르다;drücken
실력이 늘다;Fähigkeiten verbessern, sich seine Fähigkeiten verbessern
신나다;aufgeregt, begeistert
쉽다;einfach, leicht
사이다;Sprite
예매하다;Ticket reservieren
가져오다;bringen
넥타이를 매다;eine Krawatte binden
가방을 메다;eine Tasche tragen, einen Rucksack auf dem Rücken haben
실감이 나다;etwas spüren, etwas realisieren
갈아입다;Kleidung umziehen
까맣다;schwarz
다양하다;vielfältig
경험하다;erfahren, erleben
모으다;sammeln
눕다;sich hinlegen
답장하다;antworten (schriftlich)
답하다;antworten
갖다주다;bringen
