저;ich
지지난달;vorletzter Monat
이번 달;dieser Monat
다음 달;nächster Monat
다다음 달;übernächster Monat
별거;nichts besonders (wird nur bei Verneinung verwendet)
플라스틱;Plastik
노래방;Karaoke
팁;Tip, Trinkgeld
무료;gratis
미팅;Meeting, Besprechung
서울역;Bahnhof Seoul
개월;Monate (Dauer)
주일(주);Woche (Dauer)
홈페이지;Homepage
텐트;Zelt
몽골;Mongolei
고비 사막;Gobi Wüste
아저씨;älterer, normalerweise verheirateter Mann
새해;Neujahr
복;Glück
생선;Fisch
미역;Meeresalgen
세상;Welt
아시아;Asien
학원;Institut
층;Stock, Etage
버스;Bus
신촌;Shinchon (Bezirk in Seoul)
이쪽;diese Seite
저쪽;die andere Seite, dort drüben
따르릉 따르릉;Geräusch des Telefonklingelns (Klingeling Klingeling)
시내;Innenstadt, Stadtmitte
외곽;außerhalb, Stadtrand, Vorort
옛날;die vergangene Zeit, früher
(자동)차;Auto
오토바이;Motorrad
지하철;U-Bahn
기차;Zug
배;Schiff
비행기;Flugzeug
현금;Bargeld
(신용)카드;Kreditkarte
문자;Textnachricht
메신저;Messenger
영상통화;Videoanruf
온라인;online
편지;Brief
엽서;Postkarte
소포;Paket
태블릿;Tablet
어젯밤;Gesternabend
배추;Kohl
파리;Paris
산티아고;Santiago
기차역;Bahnhof
교통;Verkehr
교통체증;Verkehrsstau
도로;Straße, Fahrbahn
버스전용차로;Busspur
값;Preis
시스템;System
에어컨;Klimaanlage
치맥 (치킨하고 맥주);Chicken & Beer
모든;alle, jeder
호텔;Hotel
연락;Kontakt
해남;Haenam (Ort in Korea)
임진각;Imjingak (Ort in Korea)
땅끝마을;Ttangkkeut Village (Ort in Korea, wörtlich: Dorf am Ende Koreas)
남미, 남아메리카;Südamerika
어학원;Sprachinstitut
아르바이트;Nebenjob
여행자;Reisender
와이프;Ehefrau
킬로(미터);Kilometer
다리;Beine
자동;Automatik
수동;Manuell
껌;Kaugummi
봉지;Tüte, Sackerl
편의점;Convenience Store
컵;Tasse, Glas, Becher
냄비;Topf
스프;Ramyunpulver für Suppe
인스턴트;Instant
라멘;japanische Ramen
국물;Brühe
계란;Ei
찬밥;kalter Reis
고추;Chili
고춧가루;Chilipulver
가격;Preis
종류;Art, Sorte, Klasse
냄새;Geruch
하늘;Himmel
인스부르크;Innsbruck
창;Fenster
초;Anfang (Zeitspanne)
말;Ende (Zeitspanne)
모래;Sand
황사;gelber Sand
미세먼지;Feinstaub
벚꽃;Kirschblüte
온도;Temperatur
영하;Unter Null (Minusgrade)
태풍;Taifun
장마;Monsunregen
장마철;Regenzeit
미용실;Friseursalon
건물;Gebäude
냠냠 쩝쩝;Geräusch des Schmatzens oder Genießens von etwas Leckerem
가짜;Fälschung
나무;Holz, Baumholz
식탁;Esstisch
제육볶음;Gebratenes scharf mariniertes Schweinefleischgericht
파전;Jungzwiebelpfannkuchen
막걸리;Reiswein
얼굴;Gesicht
턱;Kinn
마음;Gemüt, Seele, Geist
발음;Aussprache
연습;Übung
문법;Grammatik
기초;Grundlagen
문장;Satz
방법;Methode
언어교환;Sprachaustausch
관광객;Tourist
시리얼;Müsli
양;Menge
보름달;Vollmond
원룸;Einzimmerwohnung
월세;monatliche Miete
이사;Umzug
주인;Eigentümer
전세;koreanisches Mietmodell (siehe Leseverständnis)
전셋돈;Mietvorauszahlung
나머지;der Rest
서양;der Westen
코스 요리;Gänge-Menü
전식 (애피타이저);Vorspeise
본식 (메인음식);Hauptgericht
후식 (디저트);Nachspeise
닭갈비;Hähnchenrippchen
단것;Süßigkeiten
액세서리;Schmuck
귀걸이;Ohrringe
운동화;Turnschuhe
사이즈;Größe
이렇다 (이런);so, solch
알바;Nebenjob
비자;Visum
취향;Geschmack
비밀;Geheimnis
푹;ausreichend, tief, gründlich
농담;Scherz, Witz
박물관;Museum
입구;Eingang
금연;Rauchverbot
사인;Zeichen, Schild
버스 정류장;Bushaltestelle
성함;Name
댁;Haus
생신;Geburtstag
말씀;Wort
연세;Alter
신문;Zeitung
스마트폰;Smartphone
첫째;erstes Kind / Ältester
친(할아버지);(Großvater) väterlicherseits
외(할머니);(Großmutter) mütterlicherseits
사탕;Bonbon, Zuckerl
목걸이;Halskette
아이 (애);Kind
삼촌;Onkel
자식;Nachkommen, Kind (eigene Kinder unabhängig vom Alter)
전화통화 중;während eines Telefongesprächs
안부;Grüße
시차;Zeitunterschied
띵동띵동;Geräusch des Türklingelns (Ding-Dong Ding-Dong)
영수증;Rechnung, Quittung
(카페)라테;Caffè Latte
아이스 아메리카노 (아아);Iced Americano
테이크 아웃;To-Go-Getränke (Getränke zum Mitnehmen)
스몰;klein, small
블랙커피;schwarzer Kaffee
스푼;Löffel (Spoon)
설탕;Zucker
몸;Körper
마지막;das Letzte, das Ende, der Schluss
어른;Erwachsene
월급;Monatsgehalt
해물탕;Meeresfrüchtesuppe
보이스 메시지;Sprachnachricht
(생선)회;roher Fisch
패러글라이딩;Gleitschirmfliegen
스쿠버다이빙;Scuba Tauchen
번지점프;Bungee-Springen
마라톤;Marathon
한옥;Hanok
한복;Hanbok
온돌;Ondol
거울;Spiegel
분위기;Stimmung
유행;Trend
회색;Grau
경상북도;Gyeongsangbuk-do (Bundesland Koreas)
안동;Andong (Stadt in Gyeongsangbuk-do)
찜닭;Jjimdak (Hühnerfleischgericht aus Andong)
하회마을;Hahoe (Dorf in Andong)
